eurostat_country_code,fao_area_code,Country_name,Climatic_zone1,Climatic_zone1_pct,Agreena_crop_english_name,Agreena_crop_ID,Agreena_crop_IDENTIFIER,Agreena_crop_year,Agreena_crop_methodology,coolfarm_id,coolfarm_name,es_crop_name,fao_crop_name,yield_avg,yield_min,yield_max,yield_sd,source,Agreena_crop_name
AU,10,Australia,NA,NA,Blueberry,4,BLUEBERRY,NA,NA,33,Blueberry,use FAO,Blueberries,3.69945,3.6744,3.7244,0.01549986175053558,fao (imputed),BLUEBERRY
AU,10,Australia,NA,NA,Borage (seed harvest),312,BORAGE-SEED-HARVEST,2023,2,11,Oats,Other oilseed crops n.e.c.,"Oilcrops, Oil Equivalent",0.5088125,0.4185,0.6615,0.08062719210751952,fao (imputed),BORAGE-SEED-HARVEST
AU,10,Australia,NA,NA,"Canola, Spring (seed harvest)",243,CANOLA-SPRING,2023,2,36,Canola,Spring rape and turnip rape seeds,use eurostat,3.277045454545454,0.29,14.1,0.5857412424696442,CZ estimate Eurostat,CANOLA-SPRING
AU,10,Australia,NA,NA,"Canola, Winter (seed harvest)",244,CANOLA-WINTER,2023,2,36,Canola,Winter rape and turnip rape seeds,use eurostat,3.10515625,0.98,7.08,0.4162451228793667,CZ estimate Eurostat,CANOLA-WINTER
AU,10,Australia,NA,NA,Carrot (root harvest),209,CARROT-ROOT-HARVEST,2023,2,30,Other tuber crop,use FAO,Carrots and turnips,55.38875,49.063,62.0795,4.146718570491267,fao (imputed),CARROT-ROOT-HARVEST
AU,10,Australia,NA,NA,Carrot (seed harvest),210,CARROT-SEED-HARVEST,2023,2,30,Other tuber crop,use FAO,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1.158975,1.158,1.16,5.548487567410932e-4,fao (imputed),CARROT-SEED-HARVEST
AU,10,Australia,NA,NA,"Clover, Berseem (forage harvest)",245,CLOVER-BERSEEM-FORAGE-HARVEST,2023,2,4,Clover,Other leguminous plants harvested green n.e.c.,use eurostat,7.602265625,0.4,20.6,1.569543367833647,CZ estimate Eurostat,CLOVER-BERSEEM-FORAGE-HARVEST
AU,10,Australia,NA,NA,"Clover, Crimson (forage harvest)",246,CLOVER-CRIMSON-FORAGE-HARVEST,2023,2,4,Clover,Other leguminous plants harvested green n.e.c.,use eurostat,7.602265625,0.4,20.6,1.569543367833647,CZ estimate Eurostat,CLOVER-CRIMSON-FORAGE-HARVEST
AU,10,Australia,NA,NA,"Clover, Red (forage harvest)",189,CLOVER-RED-FORAGE-HARVEST,2023,2,4,Clover,Other leguminous plants harvested green n.e.c.,use eurostat,7.602265625,0.4,20.6,1.569543367833647,CZ estimate Eurostat,CLOVER-RED-FORAGE-HARVEST
AU,10,Australia,NA,NA,"Clover, White (forage harvest)",191,CLOVER-WHITE-FORAGE-HARVEST,2023,2,4,Clover,Other leguminous plants harvested green n.e.c.,use eurostat,7.602265625,0.4,20.6,1.569543367833647,CZ estimate Eurostat,CLOVER-WHITE-FORAGE-HARVEST
AU,10,Australia,NA,NA,Cotton,266,COTTON,2023,2,6,Cotton,Cotton fibre,use eurostat,1.335,0.6,2.47,0.188017163703273,CZ estimate Eurostat,COTTON
AU,10,Australia,NA,NA,Cotton (seed harvest),267,COTTON-SEED-HARVEST,NA,NA,6,Cotton,Cotton seed,use eurostat,5.296875,0,16.3,2.016168106084983,CZ estimate Eurostat,COTTON-SEED-HARVEST
AU,10,Australia,NA,NA,"Bean, Black (seed harvest)",147,DRY-BEAN,2023,2,7,Dry bean,Broad and field beans,"Beans, dry",1.2947625,0.9034,2.2155,0.4400598983174255,fao (imputed),DRY-BEAN
AU,10,Australia,NA,NA,Flax / Linseed,96,FLAX,2022,2,19,Spring wheat,Linseed (oilflax),use eurostat,5.216818181818182,0.59,36.3,1.205927124663923,CZ estimate Eurostat,FLAX
AU,10,Australia,NA,NA,Flax / Linseed (seed harvest),193,FLAX-LINSEED-SEED-HARVEST,2023,2,11,Oats,Linseed (oilflax),use eurostat,5.216818181818182,0.59,36.3,1.205927124663923,CZ estimate Eurostat,FLAX-LINSEED-SEED-HARVEST
AU,10,Australia,NA,NA,Grass-clover mix,133,GRASS-CLOVER-MIX,2022,2,13,Grass-clover mix,Other leguminous plants harvested green n.e.c.,use eurostat,7.602265625,0.4,20.6,1.569543367833647,CZ estimate Eurostat,GRASS-CLOVER-MIX
